epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.114,1.08867,2.42653,1.07445,0.01145,0.97376,0.51163,0.33486,0.917,3.27014,0.9194,0.000651515,0.000651515,0.000651515
2,393.118,1.0589,1.55207,1.02187,0.75329,0.82507,0.77727,0.54355,0.96985,2.35551,1.05514,0.00129208,0.00129208,0.00129208
3,607.916,1.0566,1.35948,1.05282,0.7661,0.81633,0.83717,0.56228,1.04564,2.04433,1.04069,0.00190625,0.00190625,0.00190625
4,834.912,0.99926,1.13307,1.02366,0.84038,0.85955,0.90095,0.56537,1.13598,1.93952,1.08261,0.0018812,0.0018812,0.0018812
5,1056.62,0.97683,1.02745,1.01574,0.94854,0.97668,0.98683,0.71428,0.95444,0.96309,0.98209,0.0018416,0.0018416,0.0018416
6,1282.02,0.93923,0.87391,0.98601,0.91414,0.93127,0.96431,0.70415,0.92211,0.96219,0.9681,0.001802,0.001802,0.001802
7,1496.66,0.98497,0.82434,0.99474,0.97329,0.95627,0.98299,0.7306,0.87828,0.83832,0.95132,0.0017624,0.0017624,0.0017624
8,1708.86,0.9352,0.79678,0.99326,0.95178,0.92077,0.97102,0.70686,0.91452,0.92372,0.95845,0.0017228,0.0017228,0.0017228
9,1925.16,0.93635,0.76185,0.99661,0.94397,0.97085,0.96864,0.70736,0.92838,0.75997,1.00959,0.0016832,0.0016832,0.0016832
10,2133.38,0.89246,0.71279,0.97748,0.96199,0.9621,0.98567,0.74589,0.85271,0.68916,0.95038,0.0016436,0.0016436,0.0016436
11,2345.27,0.9503,0.7161,0.99699,0.94529,0.95711,0.97574,0.74609,0.86151,0.64301,0.95317,0.001604,0.001604,0.001604
12,2554.25,0.84446,0.63383,0.9447,0.97265,0.97376,0.99018,0.71298,0.93905,0.69888,0.9485,0.0015644,0.0015644,0.0015644
13,2762.45,0.84526,0.62908,0.94865,0.94383,0.97971,0.99041,0.75281,0.88862,0.69422,0.92759,0.0015248,0.0015248,0.0015248
14,2975.14,0.87285,0.6193,0.95172,0.96656,0.98251,0.9927,0.76069,0.86589,0.55971,0.92603,0.0014852,0.0014852,0.0014852
15,3185.76,0.8119,0.58641,0.94352,0.98227,0.9694,0.99248,0.78651,0.77365,0.51948,0.89813,0.0014456,0.0014456,0.0014456
16,3399.73,0.81347,0.57394,0.93672,0.98159,0.98251,0.9922,0.79104,0.75497,0.49874,0.90074,0.001406,0.001406,0.001406
17,3610.53,0.82367,0.56723,0.94804,0.98467,0.97959,0.99293,0.79739,0.74336,0.49998,0.88816,0.0013664,0.0013664,0.0013664
18,3821.56,0.81349,0.54717,0.93465,0.98542,0.98506,0.99252,0.79505,0.76908,0.46399,0.89275,0.0013268,0.0013268,0.0013268
19,4032.93,0.78459,0.53425,0.92741,0.98819,0.97552,0.9938,0.80094,0.73957,0.54698,0.8855,0.0012872,0.0012872,0.0012872
20,4243.66,0.77586,0.52219,0.91595,0.97116,0.98167,0.99143,0.79632,0.72946,0.50886,0.88168,0.0012476,0.0012476,0.0012476
21,4453.74,0.76602,0.53439,0.91318,0.98404,0.97376,0.99208,0.7895,0.75922,0.47172,0.89716,0.001208,0.001208,0.001208
22,4666.16,0.7656,0.51546,0.92984,0.98541,0.98435,0.9942,0.80373,0.75482,0.45599,0.89066,0.0011684,0.0011684,0.0011684
23,4880.07,0.75776,0.50379,0.90834,0.97924,0.98251,0.99151,0.80408,0.72242,0.45284,0.88099,0.0011288,0.0011288,0.0011288
24,5090.36,0.76254,0.51284,0.92127,0.97245,0.97959,0.98988,0.79096,0.74979,0.51304,0.89102,0.0010892,0.0010892,0.0010892
25,5301.77,0.76026,0.51609,0.91774,0.99515,0.98542,0.99354,0.80677,0.72522,0.4474,0.87602,0.0010496,0.0010496,0.0010496
26,5513.96,0.71742,0.49419,0.89718,0.98791,0.98251,0.99269,0.81248,0.71404,0.43973,0.87628,0.00101,0.00101,0.00101
27,5726.77,0.72542,0.48649,0.89908,0.97674,0.99125,0.99193,0.82209,0.70629,0.44146,0.86905,0.0009704,0.0009704,0.0009704
28,5940.26,0.75292,0.50634,0.90717,0.98265,0.991,0.99331,0.82023,0.7259,0.43918,0.87208,0.0009308,0.0009308,0.0009308
29,6146.56,0.73592,0.48645,0.9002,0.9894,0.98251,0.99391,0.83115,0.71634,0.41821,0.8708,0.0008912,0.0008912,0.0008912
30,6352.57,0.71422,0.46667,0.90425,0.98448,0.98834,0.9936,0.80102,0.73734,0.43382,0.88438,0.0008516,0.0008516,0.0008516
31,6558.32,0.69037,0.44989,0.8941,0.98451,0.99417,0.99224,0.83082,0.68251,0.40293,0.86075,0.000812,0.000812,0.000812
32,6764.96,0.67522,0.44455,0.8919,0.97579,0.98834,0.98768,0.82149,0.70385,0.41129,0.86621,0.0007724,0.0007724,0.0007724
33,6961.95,0.70561,0.44862,0.89446,0.98836,0.99019,0.99402,0.83424,0.67066,0.3786,0.86107,0.0007328,0.0007328,0.0007328
