epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.563,1.05002,2.44013,1.05853,1,0.05851,0.42589,0.27915,1.01075,3.40822,0.99906,0.000651515,0.000651515,0.000651515
2,377.726,1.06343,1.48746,1.01617,0.86153,0.84211,0.90436,0.61926,1.09177,2.37888,1.08494,0.00130513,0.00130513,0.00130513
3,597.862,1.10883,1.37269,1.02932,0.78045,0.80033,0.82025,0.50408,1.16253,1.81939,1.07203,0.00194555,0.00194555,0.00194555
4,810.464,1.03694,1.17475,1.00856,0.9248,0.83333,0.93219,0.63836,1.08694,1.44711,1.05412,0.0019406,0.0019406,0.0019406
5,1028.58,1.00362,1.0015,1.01121,0.93167,0.90351,0.9573,0.68309,0.96211,1.53276,0.99778,0.0019208,0.0019208,0.0019208
6,1248.86,0.9866,0.94065,0.99801,0.86458,0.74854,0.84086,0.59594,1.03383,1.26465,1.0779,0.001901,0.001901,0.001901
7,1469.77,0.95952,0.85212,1.00593,0.92929,0.88387,0.94504,0.68585,0.99387,1.00973,1.00655,0.0018812,0.0018812,0.0018812
8,1693.96,0.97972,0.82178,1.00423,0.95934,0.90643,0.96706,0.72738,0.90367,1.1726,1.00162,0.0018614,0.0018614,0.0018614
9,1916.91,0.90844,0.74693,0.97451,0.97412,0.87427,0.96192,0.70111,0.91616,0.88292,0.98933,0.0018416,0.0018416,0.0018416
10,2135.74,0.90437,0.71186,0.9769,0.92854,0.94444,0.97405,0.71381,0.92029,0.69684,0.98399,0.0018218,0.0018218,0.0018218
11,2354.82,0.92082,0.69421,0.9749,0.95552,0.94209,0.97351,0.75868,0.84374,0.64263,0.953,0.001802,0.001802,0.001802
12,2568.61,0.87635,0.64082,0.96554,0.93139,0.95263,0.97473,0.69746,0.97134,0.80767,0.96504,0.0017822,0.0017822,0.0017822
13,2778.02,0.88653,0.65397,0.96702,0.97871,0.94072,0.97518,0.74417,0.85872,0.6525,0.9418,0.0017624,0.0017624,0.0017624
14,2989.34,0.85565,0.63927,0.94638,0.97683,0.94152,0.97883,0.73774,0.87786,0.61855,0.94613,0.0017426,0.0017426,0.0017426
15,3210.11,0.86932,0.63505,0.96095,0.96747,0.95646,0.98683,0.75761,0.85742,0.58975,0.93727,0.0017228,0.0017228,0.0017228
16,3422.42,0.83396,0.58743,0.95113,0.97496,0.97661,0.9911,0.77487,0.79762,0.54489,0.93309,0.001703,0.001703,0.001703
17,3638.02,0.83391,0.56926,0.94781,0.97552,0.96784,0.99083,0.76687,0.85366,0.56252,0.93993,0.0016832,0.0016832,0.0016832
18,3853.93,0.84713,0.59127,0.94213,0.96715,0.97076,0.9904,0.78895,0.79817,0.51592,0.91573,0.0016634,0.0016634,0.0016634
19,4063.8,0.80166,0.54358,0.92685,0.96753,0.98246,0.98777,0.73435,0.86078,0.57905,0.93015,0.0016436,0.0016436,0.0016436
20,4283.4,0.81262,0.55007,0.92788,0.96815,0.97754,0.98591,0.78191,0.7888,0.50195,0.92852,0.0016238,0.0016238,0.0016238
21,4497.32,0.79154,0.54372,0.93217,0.97683,0.95614,0.98854,0.77417,0.83299,0.56585,0.92138,0.001604,0.001604,0.001604
22,4714.04,0.80039,0.54197,0.93335,0.94268,0.97368,0.98986,0.79336,0.73918,0.52977,0.91404,0.0015842,0.0015842,0.0015842
23,4906.02,0.77681,0.52796,0.93582,0.96817,0.97844,0.99255,0.78431,0.78378,0.50055,0.91704,0.0015644,0.0015644,0.0015644
24,5103.53,0.77064,0.53505,0.92562,0.9736,0.97047,0.99269,0.79456,0.81052,0.50569,0.91712,0.0015446,0.0015446,0.0015446
25,5308.33,0.7974,0.54228,0.92222,0.98122,0.96491,0.9923,0.79081,0.8074,0.48679,0.91915,0.0015248,0.0015248,0.0015248
26,5510.81,0.7975,0.52696,0.92488,0.97354,0.96827,0.98309,0.77988,0.82309,0.51526,0.93673,0.001505,0.001505,0.001505
27,5710.52,0.77142,0.50175,0.91924,0.97384,0.97975,0.99196,0.79201,0.76077,0.46926,0.90256,0.0014852,0.0014852,0.0014852
